date,hawkish_surprise
2003-09-16T00:00:00Z,1
2003-10-28T00:00:00Z,0
2003-12-09T00:00:00Z,1
2004-01-28T00:00:00Z,1
2004-03-16T00:00:00Z,0
2004-05-04T00:00:00Z,1
2004-06-30T00:00:00Z,0
2004-08-10T00:00:00Z,1
2004-09-21T00:00:00Z,0
2004-11-10T00:00:00Z,0
2004-12-14T00:00:00Z,0
2005-02-02T00:00:00Z,0
2005-03-22T00:00:00Z,1
2005-05-03T00:00:00Z,1
2005-06-30T00:00:00Z,1
2005-08-09T00:00:00Z,0
2005-09-20T00:00:00Z,1
2005-11-01T00:00:00Z,1
2005-12-13T00:00:00Z,0
2006-01-31T00:00:00Z,1
2006-03-28T00:00:00Z,1
2006-05-10T00:00:00Z,1
2006-06-29T00:00:00Z,0
2006-08-08T00:00:00Z,0
2006-09-20T00:00:00Z,1
2006-10-25T00:00:00Z,0
2006-12-12T00:00:00Z,0
2007-01-31T00:00:00Z,0
2007-03-21T00:00:00Z,0
2007-05-09T00:00:00Z,1
2007-06-28T00:00:00Z,1
2007-08-07T00:00:00Z,0
2007-08-10T00:00:00Z,1
2007-08-17T00:00:00Z,0
2007-09-18T00:00:00Z,0
2007-10-31T00:00:00Z,1
2007-12-11T00:00:00Z,1
2008-01-22T00:00:00Z,0
2008-01-30T00:00:00Z,0
2008-03-11T00:00:00Z,1
2008-03-18T00:00:00Z,1
2008-04-30T00:00:00Z,0
2008-06-25T00:00:00Z,0
2008-08-05T00:00:00Z,0
2008-09-16T00:00:00Z,1
2008-10-08T00:00:00Z,1
2008-10-29T00:00:00Z,0
2008-12-16T00:00:00Z,0
2009-01-28T00:00:00Z,0
2009-03-18T00:00:00Z,0
2009-04-29T00:00:00Z,1
2009-06-24T00:00:00Z,1
2009-08-12T00:00:00Z,0
2009-09-23T00:00:00Z,0
2009-11-04T00:00:00Z,0
2009-12-16T00:00:00Z,1
2010-01-27T00:00:00Z,1
2010-03-16T00:00:00Z,0
2010-04-28T00:00:00Z,1
2010-06-23T00:00:00Z,1
2010-08-10T00:00:00Z,0
2010-09-21T00:00:00Z,0
2010-11-03T00:00:00Z,1
2010-12-14T00:00:00Z,1
2011-01-26T00:00:00Z,0
2011-03-15T00:00:00Z,1
2011-04-27T00:00:00Z,0
2011-06-22T00:00:00Z,1
2011-08-09T00:00:00Z,0
2011-09-21T00:00:00Z,1
2011-11-02T00:00:00Z,1
2011-12-13T00:00:00Z,1
2012-01-25T00:00:00Z,0
2012-03-13T00:00:00Z,1
2012-04-25T00:00:00Z,1
2012-06-20T00:00:00Z,1
2012-08-01T00:00:00Z,1
2012-09-13T00:00:00Z,1
2012-10-24T00:00:00Z,1
2012-12-12T00:00:00Z,1
2013-01-30T00:00:00Z,1
2013-03-20T00:00:00Z,1
2013-05-01T00:00:00Z,1
2013-06-19T00:00:00Z,1
2013-07-31T00:00:00Z,1
2013-09-18T00:00:00Z,0
2013-10-30T00:00:00Z,1
2013-12-18T00:00:00Z,1
2014-01-29T00:00:00Z,1
2014-03-19T00:00:00Z,1
2014-04-30T00:00:00Z,1
2014-06-18T00:00:00Z,1
2014-07-30T00:00:00Z,1
2014-09-17T00:00:00Z,1
2014-10-29T00:00:00Z,1
2014-12-17T00:00:00Z,0
2015-01-28T00:00:00Z,0
2015-03-18T00:00:00Z,0
2015-04-29T00:00:00Z,1
2015-06-17T00:00:00Z,0
2015-07-29T00:00:00Z,0
2015-09-17T00:00:00Z,0
2015-10-28T00:00:00Z,1
2015-12-16T00:00:00Z,1
2016-01-27T00:00:00Z,0
2016-03-16T00:00:00Z,0
2016-04-27T00:00:00Z,1
2016-06-15T00:00:00Z,0
2016-07-27T00:00:00Z,1
2016-09-21T00:00:00Z,0
2016-11-02T00:00:00Z,1
2016-12-14T00:00:00Z,1
2017-02-01T00:00:00Z,0
2017-03-15T00:00:00Z,0
2017-05-03T00:00:00Z,1
2017-06-14T00:00:00Z,1
2017-07-26T00:00:00Z,0
2017-09-20T00:00:00Z,1
2017-11-01T00:00:00Z,1
2017-12-13T00:00:00Z,1
2018-01-31T00:00:00Z,1
2018-03-21T00:00:00Z,1
2018-05-02T00:00:00Z,1
2018-06-13T00:00:00Z,1
2018-08-01T00:00:00Z,1
2018-09-26T00:00:00Z,1
